Symbol,Company Name,Bonus(%),Cash(%),Total(%),Announcement,Book Closure,Fiscal Year
SSIFC,Shree Investment Fin...,0,6.40,6.40,"Nov 25, 2025",Not Announced,2081/2082
SBI,Nepal SBI Bank Limit...,4,5.00,9.00,"Nov 25, 2025",Not Announced,2081/2082
NMB,NMB Bank Limited,5,5.00,10.00,"Nov 23, 2025",Not Announced,2081/2082
SMHL,Super Madi Hydropowe...,5,0.26,5.26,"Nov 21, 2025","Dec 2, 2025",2081/2082
BARUN,Barun Hydropower Co....,4.75,0.25,5.00,"Nov 20, 2025","Nov 30, 2025",2081/2082
SWBBL,Swabalamban Laghubit...,5.6365,4.36,10.00,"Nov 20, 2025",Not Announced,2081/2082
SARBTM,Sarbottam Cement Lim...,5,15.00,20.00,"Nov 19, 2025","Nov 28, 2025",2081/2082
NGPL,Ngadi Group Power Lt...,4.75,0.25,5.00,"Nov 19, 2025","Nov 30, 2025",2081/2082
LSL,Laxmi Sunrise Bank L...,10,0.53,10.53,"Nov 17, 2025",Not Announced,2081/2082
SHIVM,SHIVAM CEMENTS LTD,2.5,10.00,12.50,"Nov 17, 2025","Nov 27, 2025",2081/2082
SIFC,Shree Investment Fin...,0,6.40,6.40,"Nov 25, 2025",Not Announced,2081/2082
SBI,Nepal SBI Bank Limit...,4,5.00,9.00,"Nov 25, 2025",Not Announced,2081/2082
NMB,NMB Bank Limited,5,5.00,10.00,"Nov 23, 2025",Not Announced,2081/2082
SMHL,Super Madi Hydropowe...,5,0.26,5.26,"Nov 21, 2025","Dec 2, 2025",2081/2082
BARUN,Barun Hydropower Co....,4.75,0.25,5.00,"Nov 20, 2025","Nov 30, 2025",2081/2082
SWBBL,Swabalamban Laghubit...,5.6365,4.36,10.00,"Nov 20, 2025",Not Announced,2081/2082
SARBTM,Sarbottam Cement Lim...,5,15.00,20.00,"Nov 19, 2025","Nov 28, 2025",2081/2082
NGPL,Ngadi Group Power Lt...,4.75,0.25,5.00,"Nov 19, 2025","Nov 30, 2025",2081/2082
AADBL,Agricultural Develop...,3.25,9.75,13.00,"Nov 6, 2025","Nov 30, 2025",2081/2082
SHEL,Singati Hydro Energy...,5,0.00,5.00,"Nov 5, 2025",Not Announced,2081/2082
SADBL,Shangrila Developmen...,5,5.36,10.36,"Nov 16, 2025",Not Announced,2081/2082
NHDL,Nepal Hydro Develope...,9,0.47,9.47,"Nov 16, 2025",Not Announced,2081/2082
SKBBL,Sana Kisan Bikas Lag...,14.25,0.75,15.00,"Nov 12, 2025",Not Announced,2081/2082
NRN,NRN Infrastructure a...,40,2.10,42.10,"Nov 12, 2025","Nov 27, 2025",2081/2082
SAHAS,Sahas Urja Limited,21,1.11,22.11,"Nov 11, 2025","Nov 21, 2025",2081/2082
ICFC,ICFC Finance Limited,0,15.79,15.79,"Nov 9, 2025","Dec 5, 2025",2081/2082
SHINE,Shine Resunga Develo...,3,10.00,13.00,"Nov 9, 2025","Nov 28, 2025",2081/2082
MEN,Mountain Energy Nepa...,20,1.05,21.05,"Nov 7, 2025","Dec 3, 2025",2081/2082
