Symbol,Company Name,Bonus(%),Cash(%),Total(%),Announcement,Book Closure,Fiscal Year
AAADHYANTA,Aadhyanta Fund Manag...,0.0,3.75,3.75,"Nov 26, 2024",Not Announced,2080/2081
AADBL,Agricultural Develop...,3.25,9.75,13.0,"Nov 6, 2025","Nov 30, 2025",2081/2082
AADBL,Agricultural Develop...,6.0,24.0,30.0,"Dec 19, 2019","Dec 29, 2019",2075/2076
AADLB,Adarsha Laghubitta B...,20.0,1.05,21.05,"Feb 2, 2023",Not Announced,2078/2079
AADLB,Adarsha Laghubitta B...,20.0,1.05,21.05,"Feb 2, 2023",Not Announced,2078/2079
AAELTD,Aashutosh Energy Lim...,0,15.79,15.79,"Aug 28, 2025","Sep 9, 2025",2081/2082
AAELTD,Aashutosh Energy Lim...,0.0,15.79,15.79,"Aug 28, 2025","Sep 9, 2025",2081/2082
AAELTD,Aashutosh Energy Lim...,0.0,5.26,5.26,"Sep 15, 2024","Sep 28, 2024",2080/2081
AAELTD,Aashutosh Energy Lim...,7.5,0.0,7.5,"Oct 20, 2023",Not Announced,2079/2080
AAICL,Aadishakti Investmen...,0.0,10.0,10.0,"May 30, 2024",Not Announced,2079/2080
AAICL,Aadishakti Investmen...,0.0,10.0,10.0,"May 30, 2024",Not Announced,2079/2080
AAKBSL,Adhikhola Laghubitta...,30.0,1.58,31.58,"Dec 26, 2022",Not Announced,2078/2079
AALBSL,Asha Laghubitta Bitt...,25.0,1.32,26.32,"Oct 19, 2021","Oct 29, 2021",2077/2078
ACLBSL,Aarambha Chautari La...,21.0,0.0,21.0,"Mar 21, 2022","Mar 31, 2022",2077/2078
ACLBSL,Aarambha Chautari La...,8.85,0.0,8.85,"Mar 21, 2021","Mar 31, 2021",2076/2077
ADBL,Agricultural Develop...,3.25,9.75,13.00,"Nov 6, 2025","Nov 30, 2025",2081/2082
ADBL,Agricultural Develop...,3.25,9.75,13.0,"Nov 6, 2025","Nov 30, 2025",2081/2082
ADBL,Agricultural Develop...,3.0,7.53,10.53,"Dec 19, 2024","Dec 31, 2024",2080/2081
ADBL,Agricultural Develop...,20.0,1.05,21.05,"Dec 21, 2021","Dec 31, 2021",2077/2078
ADBL,Agricultural Develop...,15.0,0.79,15.79,"Dec 20, 2020","Dec 30, 2020",2076/2077
ADBL,Agricultural Develop...,6.0,15.05,21.05,"Feb 18, 2019","Feb 28, 2019",2074/2075
ADBL,Agricultural Develop...,20.0,1.05,21.05,"Jan 19, 2018","Jan 29, 2018",2073/2074
ADBL,Agricultural Develop...,20.0,1.05,21.05,"Mar 21, 2017","Mar 31, 2017",2072/2073
ADBL,Agricultural Develop...,15.0,0.79,15.79,"Apr 1, 2016","Apr 11, 2016",2071/2072
ADBL,Agricultural Develop...,7.0,8.0,15.0,"Apr 9, 2015","Apr 19, 2015",2070/2071
ADBL,Agricultural Develop...,0.0,31.58,31.58,"Apr 22, 2014","May 2, 2014",2069/2070
ADBL,Agricultural Develop...,0.0,31.58,31.58,"Apr 22, 2014","May 2, 2014",2069/2070
AHPC,Arun Valley Hydropow...,8,0.42,8.42,"Sep 18, 2025",Not Announced,2081/2082
AHPC,Arun Valley Hydropow...,8.0,0.42,8.42,"Sep 18, 2025",Not Announced,2081/2082
AHPC,Arun Valley Hydropow...,3.0,0.16,3.16,"Oct 4, 2024","Oct 21, 2024",2080/2081
AHPC,Arun Valley Hydropow...,8.0,0.42,8.42,"Dec 2, 2022","Feb 1, 2023",2078/2079
AHPC,Arun Valley Hydropow...,10.0,0.53,10.53,"Sep 17, 2021","Sep 27, 2021",2077/2078
AHPC,Arun Valley Hydropow...,5.0,0.26,5.26,"Dec 1, 2020","Dec 11, 2020",2076/2077
AHPC,Arun Valley Hydropow...,7.0,0.37,7.37,"Dec 16, 2019","Dec 26, 2019",2075/2076
AHPC,Arun Valley Hydropow...,10.0,0.53,10.53,"Aug 15, 2017","Aug 25, 2017",2073/2074
AHPC,Arun Valley Hydropow...,10.0,0.53,10.53,"Aug 5, 2016","Aug 15, 2016",2072/2073
AHPC,Arun Valley Hydropow...,0.0,11.0,11.0,"Aug 17, 2015","Aug 27, 2015",2071/2072
AHPC,Arun Valley Hydropow...,10.0,0.53,10.53,"Aug 12, 2014","Aug 22, 2014",2070/2071
AHPC,Arun Valley Hydropow...,15.0,0.75,15.75,"Jul 30, 2013","Aug 9, 2013",2069/2070
AHPC,Arun Valley Hydropow...,15.0,0.75,15.75,"Oct 21, 2012","Oct 31, 2012",2068/2069
AHPC,Arun Valley Hydropow...,0.0,15.0,15.0,"Dec 11, 2011","Dec 21, 2011",2067/2068
AKPL,Arun Kabeli Power Lt...,10.0,0.53,10.53,"Oct 25, 2022","Nov 4, 2022",2078/2079
AKPL,Arun Kabeli Power Lt...,17.0,0.89,17.89,"Aug 21, 2021","Aug 31, 2021",2077/2078
AKPL,Arun Kabeli Power Lt...,5.71,0.29,6.0,"Nov 17, 2020","Nov 27, 2020",2076/2077
ALBSL,Asha Laghubitta Bitt...,14.25,0.75,15.0,"Sep 22, 2024","Nov 10, 2024",2080/2081
ALBSL,Asha Laghubitta Bitt...,14.2857,0.71,15.0,"Feb 7, 2023","Mar 10, 2023",2078/2079
